"SAMN08707424"	"SAMN08707427"	"SAMN08707430"	"SAMN08707435"	"SAMN08707437"	"SAMN08707440"	"SAMN08707422"
"SRP135559.OTU1"	0.153607867735398	0.000312003059642907	0.000156712663207991	0.444965661842444	0.153607867735398	0.168997093376299	0.0384216704013658
"SRP135559.OTU2"	0.260054239978833	0.0212967249743353	0.0295114688925364	0.0235436267846513	0.00167049195286125	0.00179741075693662	6.8596515297023e-05
"SRP135559.OTU4"	0.0169999774789683	0.0305159121560418	0.00674689255284929	0.0316195349911601	0.00080717048142455	0.0153103772133656	0.0263029526988918
"SRP135559.OTU5"	0.0335126276731092	0.0370981702530244	0.00658193185473561	0.0135931128228365	0.0955058151369031	0.0147841082980464	0.0228655050990076
"SRP135559.OTU12"	0.0419989363000192	0.00580728275528896	0.0419989363000192	0.00754284495855434	0.152176201806658	0.0024694156795751	0.00400908522735934
"SRP135559.OTU25"	0.0242232577170291	0.000130839992753478	0.0242232577170291	0.00872446849151985	0.0821839927565223	0.00585372962732064	0.00716452493102239
"SRP135559.OTU26"	0.00309785244961856	0.00158014452786892	0.00061860261792628	0.00310953561306715	0.000652755258891158	0.0219494619912396	0.00347555677504917
"SRP135559.OTU41"	0.00265687701195043	0.000976267638237485	0.000115472488679572	0.000426450598363496	0.0518554392762137	0.000242893345531977	0.000114327525495038
"SRP135559.OTU47"	0.00580464231762332	0.00017109845206224	0.00580464231762332	0.00377586467301012	0.0151748050507816	0.00409680109463934	0.00473315955549458
"SRP135559.OTU48"	0.00398173774735202	0.0112220455323174	0.00252389868113922	0.00408681823431684	0.00193019028166741	0.000145736007319186	0.00591454398560997
"SRP135559.OTU52"	0.00106936543634519	0.00779050234997351	0.00779050234997351	0.000222109686647654	0.0214988103008991	0.00837172397600213	0.0020807609640097
"SRP135559.OTU57"	0.00638247341039014	0.00298919060367559	0.0127349658943756	0.0116740851302007	0.00419026762965615	0.000323857794042636	0.00100608222435634
"SRP135559.OTU61"	0.00242304630363306	0.00071458765273053	0.00228470566887439	0.00316284193786259	0.00242304630363306	0.00353004995506473	0.00841450587643481
"SRP135559.OTU74"	0.000121268245358734	0.00322067674470098	0.00352191090472695	0.00692982222340681	0.000603623142630533	0.000250989790383043	0.000518284782244173
"SRP135559.OTU86"	0.000308682806367685	0.00126814146822601	0.0016315446293261	0.0016315446293261	0.00483600401479578	0.000113350227914922	8.3840185363028e-05
"SRP135559.OTU91"	0.00389637668868965	0.00236518448438978	0.00630149866794237	0.0089465781781675	0.00180385055414009	6.47715588085271e-05	9.90838554290331e-05
"SRP135559.OTU96"	4.40975437668122e-05	0.000996396867891866	0.000767067246228586	0.000464035081748415	0.000464035081748415	4.85786691063954e-05	0.000144814865627049
"SRP135559.OTU114"	0.00320064900943538	0.00261679985506955	0.00622726635379121	0.00663663743703191	0.000182490717539463	0.000340050683744768	0.00026676422615509
"SRP135559.OTU132"	0.00342835527461599	0.00194247066164778	0.0115884890424856	0.00342835527461599	7.72076112666962e-05	0.000105253783063856	0.000792670843432265
"SRP135559.OTU151"	0.00142214578647969	0.0005334245858411	9.89764188682046e-05	0.000639675897545244	0.000350943687575891	0.0013278169555748	0.000304873401320102
"SRP135559.OTU179"	0.000886415232299077	0.00102659071237344	0.000470137989623972	0.00132377373242002	0.00136868038154598	0.000242893345531977	9.14620203960306e-05
"SRP135559.OTU184"	0.00109535921727056	0.00107691378650939	0.00307651701982002	0.000666329059942962	0.00051939665761232	0.000137639562468121	0.00109535921727056
"SRP135559.OTU206"	0.000431227907266093	0.000241550755852573	0.000431227907266093	0.000444219373295308	0.000350943687575891	0.000688197812340601	0.000312495236353104
"SRP135559.OTU217"	0.000985631629730383	0.00118762454960848	0.00216923318019482	0.000248762849045373	0.000336905940072856	0.000985631629730383	0.000114327525495038
